text,label
"На металлургическом предприятии модернизировали оборудование",металлургия
"Росатом начал загрузку ядерного топлива на АЭС",атомная отрасль
"На Курской АЭС завершили работы на энергоблоке",атомная отрасль
"ТВЭЛ поставил ядерное топливо для атомной электростанции",атомная отрасль
"Росатом построит новый энергоблок атомной станции",атомная отрасль
"На Ленинградской АЭС провели испытания реактора",атомная отрасль
"Атомэнергомаш изготовил оборудование для АЭС",атомная отрасль
"На атомной станции завершили пусконаладочные работы",атомная отрасль
"Росатом развивает технологии малых атомных станций",атомная отрасль
"Предприятие атомной отрасли изготовило корпус реактора",атомная отрасль
"На АЭС начался новый этап модернизации энергоблока",атомная отрасль
"На атомной электростанции обновили системы безопасности",атомная отрасль
"Росатом поставил оборудование для реактора",атомная отрасль
"На предприятии завершили производство компонентов для АЭС",атомная отрасль
"Компания изготовила оборудование для ядерного топлива",атомная отрасль
"Инженеры провели испытания реакторной установки",атомная отрасль
"На АЭС модернизировали турбинное оборудование",атомная отрасль
"ТВЭЛ расширяет производство ядерного топлива",атомная отрасль
"Росатом начал строительство нового энергоблока",атомная отрасль
"На предприятии разработали технологии для атомной энергетики",атомная отрасль
"Компания изготовила оборудование для атомного ледокола",атомная отрасль
"Газпром ввел в эксплуатацию новую компрессорную станцию",нефтегазовая промышленность
"ЛУКОЙЛ модернизирует нефтеперерабатывающий завод",нефтегазовая промышленность
"Роснефть увеличила добычу нефти на месторождении",нефтегазовая промышленность
"На НПЗ запустили новую установку переработки нефти",нефтегазовая промышленность
"Газпром нефть внедрила технологию бурения скважин",нефтегазовая промышленность
"На месторождении увеличили добычу газа",нефтегазовая промышленность
"Предприятие построит новый газопровод",нефтегазовая промышленность
"Нефтесервисная компания поставила буровое оборудование",нефтегазовая промышленность
"На заводе начали выпуск компонентов для СПГ-проектов",нефтегазовая промышленность
"Роснефть развивает производство нефтехимической продукции",нефтегазовая промышленность
"Компания увеличила объем бурения скважин",нефтегазовая промышленность
"На предприятии модернизировали нефтепровод",нефтегазовая промышленность
"Производитель поставил оборудование для добычи газа",нефтегазовая промышленность
"На месторождении начали эксплуатацию новой буровой установки",нефтегазовая промышленность
"Газпром строит новую компрессорную станцию",нефтегазовая промышленность
"Компания развивает технологии нефтепереработки",нефтегазовая промышленность
"На НПЗ модернизировали установку крекинга",нефтегазовая промышленность
"Нефтяники увеличили добычу на шельфе",нефтегазовая промышленность
"Предприятие выпускает оборудование для нефтегазовой отрасли",нефтегазовая промышленность
"На газохимическом комплексе увеличили выпуск продукции",нефтегазовая промышленность
"«Давтех» представил технологии оптимизации буровзрывных работ",горнодобывающая промышленность
"На выставке Mining World Russia показали оборудование для контроля горной массы",горнодобывающая промышленность
"Компания внедрила систему расчета сетки скважин на карьере",горнодобывающая промышленность
"На руднике запустили автоматизированный контроль качества горной массы",горнодобывающая промышленность
"Предприятие модернизировало оборудование для буровзрывных работ",горнодобывающая промышленность
"На карьере начали применять новые технологии дробления руды",горнодобывающая промышленность
"Добывающее предприятие увеличило объем переработки руды",горнодобывающая промышленность
"На шахте внедрили систему мониторинга горных работ",горнодобывающая промышленность
"Компания поставила горное оборудование для добычи полезных ископаемых",горнодобывающая промышленность
"На руднике обновили технику для вскрышных работ",горнодобывающая промышленность
"Маркшейдеры внедрили цифровые инструменты для контроля карьера",горнодобывающая промышленность
"Предприятие запустило новую линию обогащения руды",горнодобывающая промышленность
"На горнодобывающем комбинате повысили эффективность измельчения сырья",горнодобывающая промышленность
"Компания разработала программно-аппаратный комплекс для буровых работ",горнодобывающая промышленность
"В карьере протестировали систему оперативной съемки взорванной горной массы",горнодобывающая промышленность
"На руднике внедрили систему контроля качества бурения",горнодобывающая промышленность
"Предприятие модернизировало оборудование для добычи руды",горнодобывающая промышленность
"В карьере начали использовать цифровую модель горной массы",горнодобывающая промышленность
"На шахте обновили парк буровых установок",горнодобывающая промышленность
"Компания увеличила объем добычи угля",горнодобывающая промышленность
"Горно-обогатительный комбинат расширил мощности",горнодобывающая промышленность
"На месторождении внедрили автоматизированную систему бурения",горнодобывающая промышленность
"Предприятие закупило новую технику для вскрышных работ",горнодобывающая промышленность
"На руднике завершили модернизацию дробильного комплекса",горнодобывающая промышленность
"Горнодобывающая компания испытала новые методы обогащения руды",горнодобывающая промышленность
"На шахте внедрили систему мониторинга подземных работ",горнодобывающая промышленность
"Компания обновила оборудование для транспортировки руды",горнодобывающая промышленность
"На карьере протестировали новые буровые установки",горнодобывающая промышленность
"Предприятие расширило добычу железной руды",горнодобывающая промышленность
"На горном комбинате модернизировали систему переработки сырья",горнодобывающая промышленность
"Компания внедрила цифровой контроль буровзрывных работ",горнодобывающая промышленность
"На руднике обновили парк карьерных самосвалов",горнодобывающая промышленность
"Предприятие разработало новые методы переработки рудного сырья",горнодобывающая промышленность
"На месторождении начали использовать беспилотную горную технику",горнодобывающая промышленность
"Горно-металлургический комбинат увеличил производительность",горнодобывающая промышленность
"Компания автоматизировала процессы добычи полезных ископаемых",горнодобывающая промышленность
"На шахте ввели новую систему вентиляции",горнодобывающая промышленность
"Предприятие внедрило цифровое моделирование карьера",горнодобывающая промышленность
"На руднике начали использовать интеллектуальную систему мониторинга",горнодобывающая промышленность
"Компания модернизировала комплекс обогащения руды",горнодобывающая промышленность
"На карьере обновили парк экскаваторов",горнодобывающая промышленность
"Горно-обогатительное предприятие расширило мощности переработки",горнодобывающая промышленность
"На месторождении завершили строительство новой шахты",горнодобывающая промышленность
"Компания внедрила систему цифрового контроля горных работ",горнодобывающая промышленность
"На руднике начали промышленную эксплуатацию нового комплекса",горнодобывающая промышленность
"СИБУР расширил производство полимеров",химическая промышленность
"ФосАгро увеличила выпуск минеральных удобрений",химическая промышленность
"Еврохим модернизировал производство аммиака",химическая промышленность
"Акрон запустил новую линию по выпуску карбамида",химическая промышленность
"Уралхим развивает производство химических реагентов",химическая промышленность
"На предприятии открыли новый цех химического производства",химическая промышленность
"Компания увеличила выпуск метанола",химическая промышленность
"Газохимический комплекс расширил производство полимерной продукции",химическая промышленность
"Нефтехимическое предприятие запустило новую установку",химическая промышленность
"Завод начал выпуск промышленных химических компонентов",химическая промышленность
"Предприятие освоило производство пластмасс",химическая промышленность
"Компания разработала новые реагенты для промышленности",химическая промышленность
"На химическом заводе модернизировали оборудование для выпуска удобрений",химическая промышленность
"Производитель увеличил выпуск лакокрасочных материалов",химическая промышленность
"СИБУР внедрил новую технологию переработки полимеров",химическая промышленность
"На химическом заводе модернизировали линию производства полимеров",химическая промышленность
"Компания увеличила выпуск минеральных удобрений",химическая промышленность
"Предприятие внедрило новую технологию переработки аммиака",химическая промышленность
"СИБУР расширил производство нефтехимической продукции",химическая промышленность
"На заводе запустили новую установку газохимии",химическая промышленность
"Компания освоила выпуск новых химических реагентов",химическая промышленность
"Предприятие модернизировало производство карбамида",химическая промышленность
"На химическом комплексе увеличили мощности переработки сырья",химическая промышленность
"Производитель полимеров внедрил новую систему контроля качества",химическая промышленность
"На предприятии начали выпуск промышленной химии",химическая промышленность
"Компания разработала новые химические компоненты",химическая промышленность
"На заводе расширили производство метанола",химическая промышленность
"Предприятие обновило оборудование для выпуска пластмасс",химическая промышленность
"Компания внедрила новые технологии нефтехимии",химическая промышленность
"На химическом производстве автоматизировали технологические процессы",химическая промышленность
"Предприятие увеличило выпуск полимерной продукции",химическая промышленность
"Компания освоила производство новых видов удобрений",химическая промышленность
"На заводе модернизировали установку синтеза аммиака",химическая промышленность
"Предприятие расширило мощности производства реагентов",химическая промышленность
"Компания внедрила цифровую систему управления химическим производством",химическая промышленность
"На предприятии запустили новую линию переработки полимеров",химическая промышленность
"Компания начала выпуск химических компонентов для промышленности",химическая промышленность
"На заводе обновили оборудование для нефтехимического комплекса",химическая промышленность
"Предприятие расширило производство химических материалов",химическая промышленность
"Компания разработала новые технологии газохимии",химическая промышленность
"На химическом предприятии модернизировали систему очистки",химическая промышленность
"Производитель удобрений увеличил выпуск продукции",химическая промышленность
"На заводе внедрили новую линию полимеризации",химическая промышленность
"Компания расширила выпуск промышленной химии",химическая промышленность
"Предприятие модернизировало химико-технологический комплекс",химическая промышленность
"Ростех поставил новую партию военной техники",оборонная промышленность
"Калашников увеличил выпуск стрелкового вооружения",оборонная промышленность
"Предприятие ВПК модернизировало производство бронетехники",оборонная промышленность
"Оборонный завод выполнил государственный оборонный заказ",оборонная промышленность
"Компания разработала новые системы вооружения",оборонная промышленность
"На предприятии оборонной промышленности запустили новую линию сборки",оборонная промышленность
"Завод начал производство боевых машин",оборонная промышленность
"Ростех представил новую разработку для армии",оборонная промышленность
"Предприятие изготовило комплектующие для военной техники",оборонная промышленность
"Оборонный комплекс увеличил выпуск специальных машин",оборонная промышленность
"Компания провела испытания нового образца вооружения",оборонная промышленность
"Завод освоил производство бронекорпусов",оборонная промышленность
"Предприятие поставило оборудование в рамках гособоронзаказа",оборонная промышленность
"Разработчики представили модернизированную систему управления огнем",оборонная промышленность
"Оборонное предприятие завершило испытания новой техники",оборонная промышленность
"Оборонное предприятие завершило испытания новой бронетехники",оборонная промышленность
"Ростех представил новые системы вооружения",оборонная промышленность
"Предприятие ВПК увеличило выпуск военной техники",оборонная промышленность
"На заводе модернизировали производство боевых машин",оборонная промышленность
"Компания разработала новый комплекс управления вооружением",оборонная промышленность
"Предприятие выполнило государственный оборонный заказ",оборонная промышленность
"На оборонном заводе запустили новую линию сборки техники",оборонная промышленность
"Компания испытала новые образцы военной продукции",оборонная промышленность
"Производитель бронетехники расширил мощности",оборонная промышленность
"На предприятии освоили выпуск компонентов для вооружения",оборонная промышленность
"Компания модернизировала производство оборонной техники",оборонная промышленность
"На заводе начали выпуск новых боевых машин",оборонная промышленность
"Предприятие внедрило цифровую систему контроля вооружения",оборонная промышленность
"Ростех поставил новую партию техники для армии",оборонная промышленность
"Компания разработала новые решения для ВПК",оборонная промышленность
"На оборонном предприятии обновили испытательный комплекс",оборонная промышленность
"Производитель вооружения автоматизировал производственные процессы",оборонная промышленность
"Предприятие изготовило новую партию бронекорпусов",оборонная промышленность
"Компания внедрила современные технологии в производство вооружения",оборонная промышленность
"На заводе завершили модернизацию производственных линий",оборонная промышленность
"Предприятие разработало новые системы управления огнем",оборонная промышленность
"Компания расширила выпуск продукции военного назначения",оборонная промышленность
"На оборонном заводе испытали новые материалы для техники",оборонная промышленность
"Производитель военной техники увеличил мощности",оборонная промышленность
"Предприятие обновило оборудование для сборки бронетехники",оборонная промышленность
"Компания завершила поставку техники по гособоронзаказу",оборонная промышленность
"На заводе внедрили роботизированную сборку военной продукции",оборонная промышленность
"Предприятие начало серийный выпуск новой техники",оборонная промышленность
"Компания испытала модернизированное вооружение",оборонная промышленность
"На предприятии ВПК расширили производственные мощности",оборонная промышленность
"Трансмашхолдинг начал выпуск новых электропоездов",железнодорожное машиностроение
"Синара поставила локомотивы для российских железных дорог",железнодорожное машиностроение
"Уралвагонзавод увеличил производство грузовых вагонов",железнодорожное машиностроение
"Предприятие модернизировало производство железнодорожной техники",железнодорожное машиностроение
"Завод начал сборку новых метропоездов",железнодорожное машиностроение
"Компания разработала оборудование для рельсового транспорта",железнодорожное машиностроение
"Производитель вагонов расширил производственные мощности",железнодорожное машиностроение
"На заводе запустили линию сборки локомотивов",железнодорожное машиностроение
"Предприятие освоило выпуск компонентов для электропоездов",железнодорожное машиностроение
"Трансмашхолдинг представил новый пассажирский поезд",железнодорожное машиностроение
"Завод изготовил партию вагонных тележек",железнодорожное машиностроение
"Компания поставила тяговое оборудование для локомотивов",железнодорожное машиностроение
"Предприятие обновило производство железнодорожных платформ",железнодорожное машиностроение
"Синара разработала новый маневровый локомотив",железнодорожное машиностроение
"Производитель начал выпуск комплектующих для метропоездов",железнодорожное машиностроение
"КАМАЗ увеличил выпуск грузовых автомобилей",автомобильная промышленность
"АвтоВАЗ запустил производство новой модели автомобиля",автомобильная промышленность
"ГАЗ модернизировал конвейер сборки коммерческого транспорта",автомобильная промышленность
"УАЗ расширил производство внедорожников",автомобильная промышленность
"Предприятие освоило выпуск автокомпонентов",автомобильная промышленность
"Завод начал производство электромобилей",автомобильная промышленность
"Компания открыла линию сборки грузовиков",автомобильная промышленность
"Производитель автокомпонентов увеличил мощности",автомобильная промышленность
"На автомобильном заводе внедрили новую сварочную линию",автомобильная промышленность
"КАМАЗ представил новый электрический грузовик",автомобильная промышленность
"Автозавод начал серийную сборку легковых автомобилей",автомобильная промышленность
"Компания локализовала производство автомобильных деталей",автомобильная промышленность
"Производитель запустил выпуск аккумуляторов для электромобилей",автомобильная промышленность
"На предприятии обновили окрасочный цех для автомобилей",автомобильная промышленность
"АвтоВАЗ увеличил выпуск автокомпонентов",автомобильная промышленность
"На заводе начали выпуск новых промышленных насосов",машиностроение
"Предприятие модернизировало производство редукторов",машиностроение
"Компания разработала новое промышленное оборудование",машиностроение
"На предприятии запустили линию механической обработки деталей",машиностроение
"Завод увеличил выпуск компрессорного оборудования",машиностроение
"Производитель спецтехники расширил производственные мощности",машиностроение
"На заводе освоили выпуск новых станков с ЧПУ",машиностроение
"Компания модернизировала производство промышленной техники",машиностроение
"Предприятие изготовило оборудование для металлургии",машиностроение
"На заводе внедрили новую линию сборки агрегатов",машиностроение
"Компания поставила промышленное оборудование для предприятий",машиностроение
"На предприятии расширили производство гидравлических систем",машиностроение
"Завод начал серийный выпуск промышленной техники",машиностроение
"Производитель оборудования обновил механообрабатывающий цех",машиностроение
"Компания разработала новые инженерные агрегаты",машиностроение
"На заводе модернизировали производство подшипников",машиностроение
"Предприятие освоило выпуск промышленных приводов",машиностроение
"Компания автоматизировала производство оборудования",машиностроение
"На заводе начали выпуск новых производственных линий",машиностроение
"Производитель спецтехники увеличил объем производства",машиностроение
"На предприятии внедрили роботизированную механообработку",машиностроение
"Компания изготовила оборудование для промышленной автоматизации",машиностроение
"На заводе обновили парк металлообрабатывающих станков",машиностроение
"Предприятие расширило производство промышленного инструмента",машиностроение
"Компания модернизировала участок механической сборки",машиностроение
"На заводе начали выпуск новых компрессоров",машиностроение
"Производитель техники освоил выпуск новых моделей оборудования",машиностроение
"Компания внедрила цифровое управление промышленными агрегатами",машиностроение
"Предприятие разработало новые производственные механизмы",машиностроение
"На заводе расширили мощности сборочного производства",машиностроение
"На предприятии внедрили систему промышленной аналитики",технологии
"Компания разработала цифровую платформу мониторинга производства",технологии
"На заводе внедрили искусственный интеллект для контроля качества",технологии
"Предприятие использует машинное обучение в производственных процессах",технологии
"Компания внедрила систему предиктивной диагностики оборудования",технологии
"На производстве начали использовать цифровые двойники",технологии
"Предприятие разработало платформу промышленного интернета вещей",технологии
"Компания автоматизировала управление производственными процессами",технологии
"На заводе внедрили интеллектуальную систему контроля",технологии
"Предприятие использует компьютерное зрение для проверки продукции",технологии
"Компания разработала промышленную SCADA-систему",технологии
"На предприятии внедрили цифровую систему управления оборудованием",технологии
"Производство перевели на автоматизированный режим управления",технологии
"Компания разработала программное обеспечение для промышленности",технологии
"На заводе внедрили систему анализа технологических данных",технологии
"Предприятие использует нейросетевые алгоритмы в производстве",технологии
"Компания создала цифровую платформу промышленного контроля",технологии
"На предприятии внедрили MES-систему нового поколения",технологии
"Компания автоматизировала производственную аналитику",технологии
"На заводе начали использовать интеллектуальные датчики",технологии
"Предприятие внедрило систему удаленного мониторинга",технологии
"Компания разработала алгоритмы прогнозирования отказов оборудования",технологии
"На предприятии модернизировали цифровую инфраструктуру",технологии
"Производитель внедрил платформу промышленной телеметрии",технологии
"На заводе начали использовать цифровую модель производства",технологии
"Компания разработала систему управления роботизированной линией",технологии
"На предприятии внедрили автоматизированную систему контроля процессов",технологии
"Компания перевела производство на цифровую платформу",технологии
"На производстве внедрили интеллектуальную систему диагностики",технологии
"Предприятие использует Big Data для анализа производственных процессов",технологии
"Компания представила новую разработку для промышленности",инновации
"На предприятии испытали опытный образец оборудования",инновации
"Инженеры разработали инновационный промышленный материал",инновации
"Компания запустила пилотный проект новой технологии",инновации
"На заводе протестировали новую систему производства",инновации
"Предприятие внедряет перспективные инженерные решения",инновации
"Компания представила опытный образец промышленной техники",инновации
"На предприятии начали испытания новой технологии",инновации
"Разработчики создали новое решение для автоматизации производства",инновации
"Компания внедрила экспериментальную систему мониторинга",инновации
"На заводе начали опытно-промышленную эксплуатацию оборудования",инновации
"Предприятие разработало инновационную производственную линию",инновации
"Компания представила новый технологический подход",инновации
"На предприятии испытали перспективные материалы",инновации
"Разработчики создали новую систему промышленного контроля",инновации
"Компания внедряет экспериментальные методы производства",инновации
"На заводе протестировали новую роботизированную платформу",инновации
"Предприятие представило импортозамещенную разработку",инновации
"Компания разработала новый промышленный комплекс",инновации
"На производстве начали использовать экспериментальные технологии",инновации
"Предприятие создало прототип нового оборудования",инновации
"Компания представила инновационный производственный модуль",инновации
"На предприятии начали испытания новой системы управления",инновации
"Разработчики внедрили перспективную производственную технологию",инновации
"Компания представила новое решение для промышленной автоматизации",инновации
"На заводе начали тестирование инновационной линии",инновации
"Предприятие внедрило пилотную цифровую платформу",инновации
"Компания разработала экспериментальный производственный комплекс",инновации
"На предприятии протестировали инновационные методы обработки",инновации
"Разработчики представили новую концепцию промышленного оборудования",инновации
"Инженеры разработали проект модернизации производственной линии",инжиниринг
"Компания выполнила проектирование промышленного комплекса",инжиниринг
"На предприятии завершили разработку технической документации",инжиниринг
"Инжиниринговая компания подготовила решения для завода",инжиниринг
"Специалисты выполнили расчет инженерных систем",инжиниринг
"Компания разработала проект промышленной инфраструктуры",инжиниринг
"На предприятии завершили инженерное моделирование оборудования",инжиниринг
"Инженеры подготовили проект реконструкции производства",инжиниринг
"Компания создала цифровую модель производственного комплекса",инжиниринг
"На предприятии завершили НИОКР по промышленному оборудованию",инжиниринг
"Инжиниринговая компания модернизировала производственные процессы",инжиниринг
"Специалисты разработали конструкторскую документацию",инжиниринг
"Компания выполнила проектирование энергетической системы",инжиниринг
"На предприятии внедрили инженерную систему мониторинга",инжиниринг
"Инженеры разработали решения для автоматизации производства",инжиниринг
"Компания завершила проектирование нового производственного корпуса",инжиниринг
"На заводе модернизировали инженерную инфраструктуру",инжиниринг
"Инжиниринговая компания внедрила систему промышленного моделирования",инжиниринг
"Специалисты выполнили расчеты промышленной безопасности",инжиниринг
"Компания разработала проект технологической линии",инжиниринг
"На предприятии завершили инженерный аудит оборудования",инжиниринг
"Инженеры создали проект цифровизации производства",инжиниринг
"Компания разработала технические решения для промышленности",инжиниринг
"На предприятии выполнили модернизацию инженерных коммуникаций",инжиниринг
"Инжиниринговая компания разработала проект автоматизации",инжиниринг
"Специалисты подготовили проект реконструкции предприятия",инжиниринг
"Компания внедрила инженерную систему контроля процессов",инжиниринг
"На предприятии завершили расчет производственных нагрузок",инжиниринг
"Инженеры разработали проект нового промышленного оборудования",инжиниринг
"Компания создала инженерную модель производственного участка",инжиниринг
"ОАК завершила сборку опытного самолета МС-21",авиация
"ОДК поставила двигатель ПД-8 для испытаний",авиация
"Авиазавод увеличил выпуск комплектующих для самолетов",авиация
"На предприятии начались летные испытания нового самолета",авиация
"Ростех модернизировал производство авиационных систем",авиация
"Компания разработала бортовое оборудование для гражданской авиации",авиация
"На авиапредприятии открыли участок сборки фюзеляжа",авиация
"Производитель беспилотников расширил выпуск БПЛА",авиация
"ОАК передала заказчику новый самолет Ту-214",авиация
"ОДК испытала новый авиационный двигатель",авиация
"На заводе освоили производство деталей для вертолетов",авиация
"Казанский вертолетный завод модернизировал сборочный цех",авиация
"Предприятие выпустило комплект авионики для самолета",авиация
"На аэродроме проверили работу нового БПЛА",авиация
"Компания поставила агрегаты для самолета Ил-76",авиация
"ОАК расширяет производство гражданских самолетов",авиация
"Авиастроители завершили испытания обновленного Суперджета",авиация
"На предприятии начали выпуск авиационных материалов",авиация
"ОДК развивает производство двигателей для МС-21",авиация
"Завод изготовил элементы крыла для российского самолета",авиация
"Компания представила новый беспилотный авиационный комплекс",авиация
"На авиазаводе запустили линию сборки самолетных агрегатов",авиация
"Производитель авиационной техники увеличил мощности",авиация
"ОАК внедрила цифровой контроль сборки самолетов",авиация
"Предприятие разработало систему управления для БПЛА",авиация
"ОСК построит серию новых ледоколов",судостроение
"Верфь начала строительство рыболовного судна",судостроение
"Севмаш модернизировал производство подводных лодок",судостроение
"На судостроительном заводе заложили новый траулер",судостроение
"Адмиралтейские верфи передали заказчику новое судно",судостроение
"Корабелы завершили ремонт фрегата",судостроение
"ОСК увеличила выпуск судового оборудования",судостроение
"Балтийский завод изготовил корпус ледокола",судостроение
"На верфи обновили участок сборки корабельных секций",судостроение
"Судостроители начали испытания нового танкера",судостроение
"Предприятие поставило двигатели для морских судов",судостроение
"На заводе построили скоростное пассажирское судно",судостроение
"ОСК развивает производство гражданских судов",судостроение
"Северная верфь приступила к строительству корвета",судостроение
"Севмаш изготовил оборудование для атомной подводной лодки",судостроение
"На судоверфи модернизировали доковое оборудование",судостроение
"Кораблестроительное предприятие расширило мощности",судостроение
"Верфь спустила на воду новый краболов",судостроение
"На предприятии начали выпуск судовых систем управления",судостроение
"ОСК внедрила цифровой контроль строительства судов",судостроение
"Судоремонтный завод завершил модернизацию корабля",судостроение
"Балтийский завод продолжает строительство атомного ледокола",судостроение
"На верфи заложили серию пассажирских судов",судостроение
"Компания изготовила винторулевое оборудование для судов",судостроение
"Судостроители передали флоту новый корабль",судостроение
"Северсталь запустила линию горячекатаного проката",металлургия
"РУСАЛ модернизировал алюминиевое производство",металлургия
"Норникель увеличил выпуск никелевой продукции",металлургия
"ММК обновил оборудование сталеплавильного цеха",металлургия
"Металлургический комбинат расширил производство стали",металлургия
"На предприятии начали выпуск медной продукции",металлургия
"Компания освоила производство новых сплавов",металлургия
"На заводе модернизировали линию металлопроката",металлургия
"Металлурги внедрили технологию переработки шлака",металлургия
"Предприятие увеличило выпуск листового проката",металлургия
"На комбинате обновили доменную печь",металлургия
"Компания запустила производство алюминиевых профилей",металлургия
"Красцветмет расширил переработку металлов платиновой группы",металлургия
"Металлургический завод освоил выпуск катанки",металлургия
"На предприятии начали производство титановых сплавов",металлургия
"Северсталь внедрила цифровой контроль качества металла",металлургия
"РУСАЛ увеличил выпуск глинозема",металлургия
"Норникель модернизировал обогатительную фабрику",металлургия
"Компания поставила стальную продукцию для промышленности",металлургия
"На заводе запустили новый прокатный стан",металлургия
"Металлургический комбинат увеличил переработку руды",металлургия
"Предприятие освоило выпуск ферросплавной продукции",металлургия
"ММК расширил производство холоднокатаного проката",металлургия
"На металлургическом заводе обновили плавильную печь",металлургия
"Компания начала выпуск высокопрочной стали",металлургия
"Росатом изготовил корпус реактора для новой АЭС",атомная отрасль
"На атомной станции завершили ремонт энергоблока",атомная отрасль
"ТВЭЛ увеличил производство ядерного топлива",атомная отрасль
"Росэнергоатом модернизировал систему безопасности АЭС",атомная отрасль
"На предприятии начали выпуск оборудования для реакторной установки",атомная отрасль
"Росатом построит малую атомную станцию",атомная отрасль
"На АЭС провели загрузку ядерного топлива",атомная отрасль
"Атомэнергомаш поставил оборудование для атомной станции",атомная отрасль
"На Ленинградской АЭС обновили турбинное оборудование",атомная отрасль
"Росатом развивает производство компонентов для ВВЭР",атомная отрасль
"Предприятие изготовило парогенератор для АЭС",атомная отрасль
"На Курской АЭС начались пусконаладочные работы",атомная отрасль
"Компания разработала материалы для атомной энергетики",атомная отрасль
"На атомной станции модернизировали энергоблок",атомная отрасль
"ТВЭЛ поставил топливные сборки для реактора",атомная отрасль
"Росатом ввел в эксплуатацию оборудование для АЭС",атомная отрасль
"На предприятии атомной отрасли обновили испытательный стенд",атомная отрасль
"Инженеры завершили испытания оборудования для реактора",атомная отрасль
"Компания изготовила элементы активной зоны реактора",атомная отрасль
"На АЭС повысили мощность энергоблока",атомная отрасль
"Росатом начал строительство энергоблока с реактором ВВЭР",атомная отрасль
"Атомное предприятие расширило выпуск ядерных компонентов",атомная отрасль
"На станции провели проверку систем радиационной безопасности",атомная отрасль
"Предприятие изготовило оборудование для атомного ледокола",атомная отрасль
"Росатом завершил этап строительства атомной станции",атомная отрасль
"Газпром нефть увеличила добычу на месторождении",нефтегазовая промышленность
"ЛУКОЙЛ запустил новую установку на НПЗ",нефтегазовая промышленность
"Роснефть модернизировала нефтеперерабатывающее производство",нефтегазовая промышленность
"На месторождении ввели в эксплуатацию новую скважину",нефтегазовая промышленность
"Компания построила компрессорную станцию для газопровода",нефтегазовая промышленность
"На НПЗ увеличили выпуск моторного топлива",нефтегазовая промышленность
"Нефтяники внедрили технологию гидроразрыва пласта",нефтегазовая промышленность
"Предприятие поставило оборудование для бурения скважин",нефтегазовая промышленность
"Газпром расширил газотранспортную инфраструктуру",нефтегазовая промышленность
"Компания начала добычу газа на новом участке",нефтегазовая промышленность
"На нефтеперерабатывающем заводе обновили установку крекинга",нефтегазовая промышленность
